year,source,metric,value_tonnes
1650,castaneda_2013,stock_lower,2187.7
1650,castaneda_2013,stock_upper,2453.7
1651,castaneda_2013,production_tonnes,8.77
1651,castaneda_2013,stock_lower,2196.47
1651,castaneda_2013,stock_upper,2462.5
1652,castaneda_2013,production_tonnes,8.77
1652,castaneda_2013,stock_lower,2205.24
1652,castaneda_2013,stock_upper,2471.2
1653,castaneda_2013,production_tonnes,8.77
1653,castaneda_2013,stock_lower,2214.01
1653,castaneda_2013,stock_upper,2480
1654,castaneda_2013,production_tonnes,8.77
1654,castaneda_2013,stock_lower,2222.78
1654,castaneda_2013,stock_upper,2488.8
1655,castaneda_2013,production_tonnes,8.77
1655,castaneda_2013,stock_lower,2231.55
1655,castaneda_2013,stock_upper,2497.5
1656,castaneda_2013,production_tonnes,8.77
1656,castaneda_2013,stock_lower,2240.32
1656,castaneda_2013,stock_upper,2506.3
1657,castaneda_2013,production_tonnes,8.77
1657,castaneda_2013,stock_lower,2249.09
1657,castaneda_2013,stock_upper,2515.1
1658,castaneda_2013,production_tonnes,8.77
1658,castaneda_2013,stock_lower,2257.86
1658,castaneda_2013,stock_upper,2523.9
1659,castaneda_2013,production_tonnes,8.77
1659,castaneda_2013,stock_lower,2266.63
1659,castaneda_2013,stock_upper,2532.6
1660,castaneda_2013,production_tonnes,8.77
1660,castaneda_2013,stock_lower,2275.4
1660,castaneda_2013,stock_upper,2541.4
1661,castaneda_2013,production_tonnes,9.26
1661,castaneda_2013,stock_lower,2284.66
1661,castaneda_2013,stock_upper,2550.7
1662,castaneda_2013,production_tonnes,9.26
1662,castaneda_2013,stock_lower,2293.92
1662,castaneda_2013,stock_upper,2559.9
1663,castaneda_2013,production_tonnes,9.26
1663,castaneda_2013,stock_lower,2303.18
1663,castaneda_2013,stock_upper,2569.2
1664,castaneda_2013,production_tonnes,9.26
1664,castaneda_2013,stock_lower,2312.44
1664,castaneda_2013,stock_upper,2578.4
1665,castaneda_2013,production_tonnes,9.26
1665,castaneda_2013,stock_lower,2321.7
1665,castaneda_2013,stock_upper,2587.7
1666,castaneda_2013,production_tonnes,9.26
1666,castaneda_2013,stock_lower,2330.96
1666,castaneda_2013,stock_upper,2597
