year,country,region,province,production_tonnes,source
1786,Mexico,New Spain,caja_durango,1289,TePaske
1786,Mexico,New Spain,caja_guadaljara,634,TePaske
1786,Mexico,New Spain,caja_guanajuato,2111,TePaske
1786,Mexico,New Spain,caja_mexico,798,TePaske
1786,Mexico,New Spain,caja_pachuca,32,TePaske
1786,Mexico,New Spain,caja_rosario,2901,TePaske
1786,Mexico,New Spain,caja_san luis potosi,650,TePaske
1786,Mexico,New Spain,caja_zacatecas,171,TePaske
1786,Mexico,New Spain,caja_zimapan,134,TePaske
1786,Peru,Viceroyalty of Peru,caja_arequipa,57,TePaske
1786,Peru,Viceroyalty of Peru,caja_arica,97,TePaske
1786,Peru,Viceroyalty of Peru,caja_cuzco,2,TePaske
1786,Peru,Viceroyalty of Peru,caja_la-paz,2944,TePaske
1786,Peru,Viceroyalty of Peru,caja_lima,5904,TePaske
1786,Peru,Viceroyalty of Peru,caja_potosi,429,TePaske
1786,Peru,Viceroyalty of Peru,caja_trujillo,2325,TePaske
1786,brazil,South America,NA,92930,TePaske
1786,chile,South America,NA,9243,TePaske
1786,ecuador,South America,NA,4049,TePaske
1786,new-granada,South America,NA,27869,TePaske
1796,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1796,Brazil,Colonial Brazil,minas_gerais,37500,TePaske
1796,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1796,Mexico,New Spain,caja_chihuahua,264,TePaske
1796,Mexico,New Spain,caja_durango,5428,TePaske
1796,Mexico,New Spain,caja_guadaljara,490,TePaske
1796,Mexico,New Spain,caja_guanajuato,2384,TePaske
1796,Mexico,New Spain,caja_mexico,2079,TePaske
1796,Mexico,New Spain,caja_pachuca,18,TePaske
1796,Mexico,New Spain,caja_rosario,4279,TePaske
1796,Mexico,New Spain,caja_san luis potosi,372,TePaske
1796,Mexico,New Spain,caja_zacatecas,48,TePaske
1796,Mexico,New Spain,caja_zimapan,60,TePaske
1796,Peru,Viceroyalty of Peru,caja_arequipa,254,TePaske
1796,Peru,Viceroyalty of Peru,caja_arica,3,TePaske
1796,Peru,Viceroyalty of Peru,caja_chucuito,5,TePaske
1796,Peru,Viceroyalty of Peru,caja_la-paz,3506,TePaske
1796,Peru,Viceroyalty of Peru,caja_lima,4611,TePaske
1796,Peru,Viceroyalty of Peru,caja_potosi,1674,TePaske
1796,Peru,Viceroyalty of Peru,caja_trujillo,5672,TePaske
1796,brazil,South America,NA,70430,TePaske
1796,chile,South America,NA,9137,TePaske
1796,ecuador,South America,NA,4846,TePaske
1796,new-granada,South America,NA,33130,TePaske
1806,Brazil,Colonial Brazil,mato_grosso-goais,2378,TePaske
1806,Brazil,Colonial Brazil,minas_gerais,3750,TePaske
1806,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,915,TePaske
1806,Mexico,New Spain,caja_chihuahua,1417,TePaske
1806,Mexico,New Spain,caja_durango,9797,TePaske
1806,Mexico,New Spain,caja_guadaljara,357,TePaske
1806,Mexico,New Spain,caja_guanajuato,3727,TePaske
1806,Mexico,New Spain,caja_mexico,3340,TePaske
1806,Mexico,New Spain,caja_pachuca,27,TePaske
1806,Mexico,New Spain,caja_rosario,4849,TePaske
1806,Mexico,New Spain,caja_san luis potosi,264,TePaske
1806,Mexico,New Spain,caja_zacatecas,20,TePaske
1806,Mexico,New Spain,caja_zimapan,45,TePaske
1806,Peru,Viceroyalty of Peru,caja_arequipa,80,TePaske
1806,Peru,Viceroyalty of Peru,caja_la-paz,4227,TePaske
1806,Peru,Viceroyalty of Peru,caja_lima,2392,TePaske
1806,Peru,Viceroyalty of Peru,caja_potosi,1160,TePaske
1806,Peru,Viceroyalty of Peru,caja_puno,169,TePaske
1806,Peru,Viceroyalty of Peru,caja_trujillo,3719,TePaske
1806,brazil,South America,NA,37715,TePaske
1806,chile,South America,NA,11560,TePaske
1806,ecuador,South America,NA,914,TePaske
1806,new-granada,South America,NA,34535,TePaske
